,,,,,,,,,
"Прайс Promodelsport",,,,,,,,,
,,,,,,,,,
"Вид номенклатуры",,,"Производитель","Артикул ",,"Номенклатура","Цена: Дилер (USD)","Цена: Опт (USD)","Цена: Розница (UAH)"
"Автомобили",,,"HSP Racing","HSP94580 Green",,"Автомобиль HSP Racing Big Climber Crawler 1:5 RTR 840 мм 4WD 2,4 ГГц (HSP94580 Green)","240,00","260,00","9 190,00"
"Автомобили",,,"HSP Racing","HSP94250-B Green",,"Автомобиль HSP Racing Bigfoot24 1:24 RTR 165 мм 4WD 2,4 ГГц (HSP94250-B Green)","45,00","50,00","1 690,00"
"Автомобили",,,"HSP Racing","HSP94245 Blue",,"Автомобиль HSP Racing BT24 1:24 RTR 165 мм 4WD 2,4 ГГц (HSP94245 Blue)","45,00","50,00","1 690,00"
"Автомобили",,,"HSP Racing","HSP94155 Grey/Red",,"Автомобиль HSP Racing Destrier Nitro Short Course 1:10 RTR 460 мм 4WD 2,4 ГГц (HSP94155 Grey-Red) ","150,00","170,00","5 890,00"
"Автомобили",,,"HSP Racing","94805 Pro",,"Автомобиль HSP Racing Eidolon Brushless Buggy PRO 1:18 RTR 230 мм 4WD 2,4 ГГц (94805 Pro)","100,00","110,00","3 590,00"
"Автомобили",,,"HSP Racing","94803 Pro",,"Автомобиль HSP Racing Ghost PRO Brushless Truggy 1:18 RTR 225 мм 4WD 2,4 ГГц (94803 Pro)","100,00","110,00","3 590,00"
"Автомобили",,,"HSP Racing","HSP94349 Black",,"Автомобиль HSP Racing Hummer Dakar H140 1:14 RTR 365 мм 4WD 2,4 ГГц (HSP94349 Black)","70,00","80,00","2 690,00"
"Автомобили",,,"HSP Racing","HSP94349 Blue",,"Автомобиль HSP Racing Hummer Dakar H140 1:14 RTR 365 мм 4WD 2,4 ГГц (HSP94349 Blue)","120,00","140,00","4 590,00"
"Автомобили",,,"HSP Racing","HSP94349 Yellow",,"Автомобиль HSP Racing Hummer Dakar H140 1:14 RTR 365 мм 4WD 2,4 ГГц (HSP94349 Yellow)","120,00","140,00","4 590,00"
"Автомобили",,,"HSP Racing","94186TOP",,"Автомобиль HSP Racing Kid King Brushless Monster 1:16 RTR 251 мм 4WD 2,4 ГГц (94186TOP)","115,00","125,00","4 090,00"
"Автомобили",,,"HSP Racing","HSP94286",,"Автомобиль HSP Racing Kingliness Nitro Monster 1:16 RTR 251 мм 4WD 2,4 ГГц (HSP94286)","120,00","140,00","4 590,00"
"Автомобили",,,"HSP Racing",94806,,"Автомобиль HSP Racing Knight Monster 1:18 RTR 4WD 225 мм 2.4 ГГц (94806)","56,00","58,00","1 990,00"
"Автомобили",,,"HSP Racing","HSP94680T2 Blue",,"Автомобиль HSP Racing Kulak 1:16 RTR 305 мм 4WD 2,4 ГГц (HSP94680T2 Blue)","80,00","90,00","3 090,00"
"Автомобили",,,"HSP Racing","HSP94680T2 Green",,"Автомобиль HSP Racing Kulak 1:16 RTR 305 мм 4WD 2,4 ГГц (HSP94680T2 Green) ","80,00","90,00","3 090,00"
"Автомобили",,,"HSP Racing","HSP94680T2 Red",,"Автомобиль HSP Racing Kulak 1:16 RTR 305 мм 4WD 2,4 ГГц (HSP94680T2 Red)","80,00","90,00","3 090,00"
"Автомобили",,,"HSP Racing","HSP94802 Red",,"Автомобиль HSP Racing Magician Touring Car 1:18 RTR 245 мм 4WD 2,4 ГГц (HSP94802 Red)","55,00","60,00","2 290,00"
"Автомобили",,,"HSP Racing","94802 Pro",,"Автомобиль HSP Racing Magician Touring Car Brushless PRO 1:18 RTR 245 мм 4WD 2,4 ГГц (94802 Pro)","100,00","110,00","3 590,00"
"Автомобили",,,"HSP Racing","HSP94285",,"Автомобиль HSP Racing Meteor Nitro Buggy 1:16 RTR 280 мм 4WD 2,4 ГГц (HSP94285)","130,00","150,00","5 090,00"
